ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA
10126,25,30,64,CONVERSE,9697,559,MNO,Y1,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
10126,22,24.5,64,CONVERSE,9697,559,MNO,RR,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,0,
10124,22,24.5,64,CONVERSE,9622,559,MNO,RR,1,CALZADO,5,DAMA,42,BOTA,78,TENIS CASUAL URBANO,0,
10124,25,30,64,CONVERSE,9622,559,MNO,Y1,1,CALZADO,3,CABALLERO,42,BOTA,78,TENIS CASUAL URBANO,0,
10103,22,24.5,64,CONVERSE,7652,32,BCO,RR,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,0,
10103,25,30,64,CONVERSE,7652,32,BCO,Y1,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
10117,22,24.5,64,CONVERSE,9166,628,NGO,RR,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,0,
10117,25,30,64,CONVERSE,9166,628,NGO,Y1,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
18643,17,22.5,64,CONVERSE,J231,628,NGO,02,1,CALZADO,9,NIÑO,42,BOTA,78,TENIS CASUAL URBANO,0,
18645,17,22.5,64,CONVERSE,J253,32,BCO,02,1,CALZADO,9,NIÑO,42,BOTA,78,TENIS CASUAL URBANO,0,
10114,22,24.5,64,CONVERSE,9160,628,NGO,RR,1,CALZADO,5,DAMA,42,BOTA,78,TENIS CASUAL URBANO,,
10114,25,30,64,CONVERSE,9160,628,NGO,Y1,1,CALZADO,3,CABALLERO,42,BOTA,78,TENIS CASUAL URBANO,,
31338,10,16.5,64,CONVERSE,J237,559,MNO,AJ,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
23491,25,30.5,1546,DOBLE L,2000,628,NGO,RY,1,CALZADO,3,CABALLERO,42,BOTA,81,VAQUERO,1749,VAQUERA BOTA BIKER (1749)
29143,17,22.5,64,CONVERSE,J234,839,ROSA,02,1,CALZADO,8,NIÑA,42,BOTA,78,TENIS CASUAL URBANO,,
28392,22,27,64,CONVERSE,9007,839,ROSA,SI,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
36003,17,22.5,64,CONVERSE,3J23,628,NGO,02,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
36007,17,22.5,64,CONVERSE,3J23,2534,MARINO,02,1,CALZADO,9,NIÑO,66,CHOCLO,78,TENIS CASUAL URBANO,0,
36012,10,16.5,64,CONVERSE,J232,825,ROJO,AJ,1,CALZADO,8,NIÑA,42,BOTA,78,TENIS CASUAL URBANO,,
44781,11,16,64,CONVERSE,234I,839,ROSA,AT,1,CALZADO,8,NIÑA,42,BOTA,78,TENIS CASUAL URBANO,,
44782,11,16,64,CONVERSE,231I,628,NGO,AT,1,CALZADO,9,NIÑO,42,BOTA,78,TENIS CASUAL URBANO,,
42760,22,24.5,64,CONVERSE,CROM,628,NGO,RR,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,,
42760,25,30,64,CONVERSE,CROM,628,NGO,Y1,1,CALZADO,3,CABALLERO,66,CHOCLO,78,TENIS CASUAL URBANO,,
42551,14.5,17.5,1499,HUSH PUPPIES1,1288,4970,NEGRO,LR,1,CALZADO,9,NIÑO,42,BOTA,12,CASUAL,,
1560,25,32,230,MARCO DELLI,7011,628,NGO,RX,1,CALZADO,3,CABALLERO,42,BOTA,80,TRABAJO INDUSTRIAL,1740,TRAB INDU BN AGUJETA SIN SEGUR (1740)
47981,48,48,966,VARIOS,2SPV,6044,SIN COLOR,98,8,GENERALES,33,CAFETERIA/COMEDOR,488,COMIDA,123,ALIMENTOS PREPARADOS,,
59826,22,27,870,FLEXI,8302,4970,NEGRO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,750,FLEXI BASICO (750)
59828,22,27,870,FLEXI,5807,2179,BLANCO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,751,FLEXI SERVICIO (751)
57773,25,31.5,1740,PIRMA BRASIL,767,2884,NEGRO/PLATA,SP,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,1793,BASQUETBOL (1793)
57774,25,31.5,1740,PIRMA BRASIL,767,4997,BLANCO/NEGRO/ROJO,SP,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,1793,BASQUETBOL (1793)
10102,22,24.5,64,CONVERSE,7650,32,BCO,RR,1,CALZADO,5,DAMA,42,BOTA,78,TENIS CASUAL URBANO,0,
10102,25,30,64,CONVERSE,7650,32,BCO,Y1,1,CALZADO,3,CABALLERO,42,BOTA,78,TENIS CASUAL URBANO,0,
60173,18,21.5,1499,HUSH PUPPIES1,6691,4970,NEGRO,RP,1,CALZADO,9,NIÑO,42,BOTA,12,CASUAL,1688,CONFORT BN LATIGO (1688)
63526,22,33,3248,NIABBAL´S,PIEL,624,NATURAL,"SI, ZZ",1,CALZADO,12,UNISEX,3,ACCESORIO DE CALZADO,1,ACCESORIO,0,
63528,1,1,3248,NIABBAL´S,ALON,501,GRIS,DL,1,CALZADO,12,UNISEX,3,ACCESORIO DE CALZADO,1,ACCESORIO,0,
68770,48,48,5587,USO GENERICO,P792,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,526,CAFE Y TE,112,BEBIDAS,,
68771,48,48,5587,USO GENERICO,P793,4100,VARIOS,98,8,GENERALES,33,CAFETERIA/COMEDOR,526,CAFE Y TE,112,BEBIDAS,,
68857,25,30.5,3002,GRABASA,1354,2179,BLANCO,RY,1,CALZADO,3,CABALLERO,51,CAMINAR,79,TENIS DEPORTIVO,0,
68229,12,16.5,529,PANAM,2355,382,CAFE,RH,1,CALZADO,9,NIÑO,244,SANDALIA,12,CASUAL,,
67246,22,25,529,PANAM,084,4970,NEGRO,RS,1,CALZADO,5,DAMA,66,CHOCLO,78,TENIS CASUAL URBANO,1780,RUNNING RETRO (1780)
73905,25,31.5,1740,PIRMA BRASIL,867,3015,BLANCO/MARINO,SP,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,1793,BASQUETBOL (1793)
73906,22,24.5,1740,PIRMA BRASIL,468,3129,NEGRO/ROJO,RR,1,CALZADO,7,JUNIORS,27,BASKETBALL,79,TENIS DEPORTIVO,1793,BASQUETBOL (1793)
73906,25,31.5,1740,PIRMA BRASIL,468,3129,NEGRO/ROJO,SP,1,CALZADO,3,CABALLERO,27,BASKETBALL,79,TENIS DEPORTIVO,1793,BASQUETBOL (1793)
82817,48,48,3455,GRAMMY1,XSJ5,2024,WHITE,98,7,JOYERIA Y ACCESORIOS,5,DAMA,69,CINTURON,1,ACCESORIO,,
