ULT_SUST_DEF,TALLA_INI_MIN,TALLA_FIN_MAX,MAR_CVE_N,MARCA,MODELO,COL_CVE_N,COLOR,CORRIDAS,DIV_CVE_N,DIVISION,SEC_CVE_N,SECCION,SBC_CVE_N,SUBCATEGORIA,CAT_CVE_N,CATEGORIA,FPLG_CVE_N,FAMILIA,Total
23491,25.0,30.5,1546,DOBLE L,2000,628,NGO,RY,1,CALZADO,3,CABALLERO,42,BOTA,81,VAQUERO,1749.0,VAQUERA BOTA BIKER (1749),1805.0
1560,25.0,32.0,230,MARCO DELLI,7011,628,NGO,RX,1,CALZADO,3,CABALLERO,42,BOTA,80,TRABAJO INDUSTRIAL,1740.0,TRAB INDU BN AGUJETA SIN SEGUR (1740),2307.0
59826,22.0,27.0,870,FLEXI,8302,4970,NEGRO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,750.0,FLEXI BASICO (750),12486.0
59828,22.0,27.0,870,FLEXI,5807,2179,BLANCO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,751.0,FLEXI SERVICIO (751),5261.0
63526,22.0,33.0,3248,NIABBAL´S,PIEL,624,NATURAL,"SI, ZZ",1,CALZADO,12,UNISEX,3,ACCESORIO DE CALZADO,1,ACCESORIO,0.0,,7546.0
63528,1.0,1.0,3248,NIABBAL´S,ALON,501,GRIS,DL,1,CALZADO,12,UNISEX,3,ACCESORIO DE CALZADO,1,ACCESORIO,0.0,,9794.0
68229,12.0,16.5,529,PANAM,2355,382,CAFE,RH,1,CALZADO,9,NIÑO,244,SANDALIA,12,CASUAL,,,3927.0
78387,25.0,30.0,3010,AFINO SPORT,8001,4970,NEGRO,Y1,1,CALZADO,3,CABALLERO,244,SANDALIA,54,PLAYA/BAÑO,1731.0,SAND PLAYA BAÑO SUECO (1731),4490.0
86050,25.0,32.0,1802,JONDA,23SS,6254,NEGRO GRASSO,RX,1,CALZADO,3,CABALLERO,42,BOTA,31,HEAVY,1732.0,SERV BOTA CERRADO (1732),1458.0
84858,25.0,30.0,1575,CAMO,212S,4970,NEGRO,Y1,1,CALZADO,3,CABALLERO,66,CHOCLO,83,VESTIR,1761.0,VESTIR CAS CHOCLO MOCASIN (1761),2189.0
77049,22.0,27.0,1508,CALYPSO,4201,4970,NEGRO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,553.0,MOCASIN DRIVER (553),3516.0
84908,25.0,32.0,4035,BESSERRO,800,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,42,BOTA,83,VESTIR,1758.0,VESTIR CAS BN CHELSEA (1758),2189.0
14339,25.0,30.5,953,GUASEQUI,500,628,NGO,RY,1,CALZADO,3,CABALLERO,42,BOTA,81,VAQUERO,1747.0,VAQUERA BN CHARRO (1747),2222.0
89019,22.0,27.0,870,FLEXI,8303,4970,NEGRO,SI,1,CALZADO,5,DAMA,66,CHOCLO,17,CONFORT,750.0,FLEXI BASICO (750),6594.0
85288,25.0,32.0,1550,LIVIANOS,1417,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,17,CONFORT,1710.0,CONFORT CHOCLO AGUJETA (1710),1349.0
105928,25.0,32.0,364,VAZ-TAP,7304,385,CAFE CLARO,CI,1,CALZADO,3,CABALLERO,244,SANDALIA,54,PLAYA/BAÑO,1725.0,SAND CASUAL CANGREJERA (1725),2382.0
110712,25.0,32.0,4402,GIOVANI PER SEMPRE,810,4970,NEGRO,CI,1,CALZADO,3,CABALLERO,66,CHOCLO,83,VESTIR,1764.0,VESTIR CHOCLO AGUJETA (1764),3329.0
110508,1.0,1.0,4334,FLEX WALK,T190,19,AZUL,DL,1,CALZADO,5,DAMA,3,ACCESORIO DE CALZADO,1,ACCESORIO,0.0,,7922.0
