fecha,Ta23,Ta24,Ta25,Ta26,Ta27,,
07/04/2021 00:00,0,0,0,0,,,
08/04/2021 00:00,1,6,4,1,,,
09/04/2021 00:00,4,3,2,0,,,
10/04/2021 00:00,1,2,4,1,,,
11/04/2021 00:00,1,3,1,0,,,
12/04/2021 00:00,0,0,0,0,,,
13/04/2021 00:00,3,4,3,3,,,
14/04/2021 00:00,2,5,2,3,,,
15/04/2021 00:00,3,5,6,0,,,
16/04/2021 00:00,6,4,0,0,,,
17/04/2021 00:00,0,0,1,-1,,,
18/04/2021 00:00,0,0,0,0,,,
19/04/2021 00:00,0,0,0,0,,,
20/04/2021 00:00,0,-1,0,-1,,,
21/04/2021 00:00,0,0,-1,1,,,
22/04/2021 00:00,0,0,-1,0,,,
23/04/2021 00:00,0,1,1,0,,,
24/04/2021 00:00,0,0,1,-1,,,
25/04/2021 00:00,0,0,0,0,,,
26/04/2021 00:00,0,0,0,0,,,
27/04/2021 00:00,1,5,1,2,,,
28/04/2021 00:00,3,0,1,0,,,
29/04/2021 00:00,0,2,0,1,,,
30/04/2021 00:00,0,0,2,0,,,
01/05/2021 00:00,1,1,0,0,,,
02/05/2021 00:00,0,1,3,0,,,
03/05/2021 00:00,5,3,2,0,,,
04/05/2021 00:00,2,2,0,0,,,
05/05/2021 00:00,3,5,0,0,,,
06/05/2021 00:00,7,4,4,2,,,
07/05/2021 00:00,2,2,2,-1,,,
08/05/2021 00:00,2,5,0,0,,,
09/05/2021 00:00,1,-1,0,0,,,
10/05/2021 00:00,1,2,-2,0,,,
11/05/2021 00:00,0,0,1,0,,,
12/05/2021 00:00,1,5,3,2,,,
13/05/2021 00:00,1,2,0,3,,,
14/05/2021 00:00,3,5,9,4,,,
15/05/2021 00:00,0,3,3,1,,,
16/05/2021 00:00,2,0,2,1,,,
17/05/2021 00:00,5,1,0,-1,,,
18/05/2021 00:00,0,2,-1,-1,,,
19/05/2021 00:00,3,5,2,1,,,
20/05/2021 00:00,0,3,0,0,,,
21/05/2021 00:00,0,1,4,0,,,
22/05/2021 00:00,1,3,-1,0,,,
23/05/2021 00:00,0,0,2,0,,,
24/05/2021 00:00,0,0,-2,0,,,
25/05/2021 00:00,0,-1,0,0,,,
26/05/2021 00:00,0,0,2,0,,,
27/05/2021 00:00,0,0,4,1,,,
28/05/2021 00:00,0,-1,0,0,,,
29/05/2021 00:00,1,-1,0,2,,,
30/05/2021 00:00,0,0,0,0,,,
31/05/2021 00:00,0,0,2,1,,,
01/06/2021 00:00,0,0,0,0,,,
02/06/2021 00:00,0,2,0,0,,,
03/06/2021 00:00,0,1,-1,1,,,
04/06/2021 00:00,0,0,0,1,,,
