ult_sust_def,Total
9,0.0
1560,2307.0
14339,2222.0
23491,1805.0
59826,12486.0
59828,5261.0
61154,1498.0
63526,7546.0
63528,9794.0
68229,3927.0
76949,919.0
77049,3516.0
78387,4490.0
84585,1324.0
84792,2113.0
84858,2189.0
84908,2189.0
85288,1349.0
86050,1458.0
89019,6594.0
94867,1996.0
94870,1647.0
96048,5677.0
96378,2834.0
96388,4471.0
96392,7226.0
96395,5508.0
96723,5383.0
99197,322.0
99577,2795.0
104486,3956.0
105228,1194.0
105928,2382.0
106040,1625.0
106173,6537.0
106799,3184.0
106800,1246.0
108107,5524.0
108110,5593.0
108180,6951.0
108267,4546.0
110057,2259.0
110508,7922.0
110587,2717.0
110655,1449.0
110703,4295.0
110712,3329.0
110987,1492.0
111041,2520.0
111533,3418.0
112065,1048.0
113453,10005.0
116703,1237.0
117348,15151.0
117783,1897.0
118299,3296.0
118464,1870.0
119413,1180.0
121263,3083.0
121431,9681.0
121432,11449.0
121523,9978.0
121670,11306.0
122275,437.0
123747,4421.0
123884,2541.0
123977,2554.0
124126,2220.0
124151,3254.0
124179,1673.0
124233,1988.0
124276,1172.0
124277,1159.0
124316,1640.0
124347,990.0
124427,1177.0
124436,779.0
124748,3441.0
124853,3972.0
126061,4031.0
127399,4318.0
127667,3371.0
128978,3612.0
129006,1684.0
129080,1682.0
129574,3195.0
129585,2362.0
129591,2920.0
129632,9575.0
129635,5750.0
129642,12744.0
130746,4443.0
131733,2037.0
131896,1607.0
131953,1258.0
132402,5870.0
132403,5873.0
132436,3106.0
132458,4625.0
132460,5925.0
132590,5841.0
132828,1503.0
132829,1004.0
133199,3885.0
133202,4302.0
133230,5773.0
133239,10827.0
133240,21809.0
133241,5810.0
133251,24657.0
133256,16887.0
133387,25859.0
133388,22543.0
133455,7926.0
133729,1349.0
133829,480.0
133843,1796.0
133857,1573.0
133986,1461.0
134108,4148.0
134110,4849.0
134111,2699.0
134145,2005.0
134287,2148.0
134858,1960.0
134879,1461.0
135543,9731.0
136809,1759.0
137758,2246.0
139137,2820.0
139602,16528.0
139671,1520.0
139918,20521.0
141140,1184.0
141337,3582.0
141582,4010.0
141649,4278.0
142292,4325.0
142592,1350.0
142614,2625.0
142616,3529.0
142677,2865.0
142678,2546.0
142684,3509.0
142756,5203.0
142796,3716.0
142809,5098.0
142989,6050.0
143002,7108.0
143003,3191.0
143007,4145.0
143134,13849.0
143138,17388.0
143143,7238.0
143296,4475.0
143432,104.0
143523,3633.0
143951,648.0
144641,22324.0
145154,1141.0
145676,3956.0
146466,2409.0
146476,1344.0
146477,2312.0
146637,1447.0
146640,4700.0
146643,2098.0
147023,3710.0
147025,4185.0
147056,3370.0
147057,2503.0
147058,5256.0
147097,2493.0
147130,4365.0
147131,2828.0
147152,3635.0
147176,2546.0
147222,1968.0
147424,2220.0
147425,12323.0
147483,2162.0
148133,10853.0
149021,934.0
151132,406.0
151436,2586.0
152248,2688.0
152324,794.0
152479,1426.0
152840,3165.0
152867,3387.0
152903,1929.0
152972,3089.0
153132,3311.0
153137,3608.0
153138,5891.0
153140,371.0
153143,706.0
153145,2504.0
153375,3006.0
153475,2747.0
153502,18482.0
153591,9804.0
153615,1997.0
153674,4279.0
153677,2832.0
153678,2829.0
153710,2600.0
153890,4948.0
153899,3338.0
153921,1815.0
153930,5998.0
153944,6480.0
153955,4887.0
153957,3475.0
154099,5502.0
154183,3943.0
154187,3811.0
154190,13911.0
154201,5656.0
154309,3057.0
154335,5194.0
154336,5380.0
154337,651.0
154396,2096.0
154400,2308.0
154410,5452.0
154626,6743.0
154640,5726.0
154775,1993.0
155153,1489.0
155155,1747.0
155156,8027.0
155516,1714.0
155517,1532.0
155733,1529.0
156446,230.0
156447,469.0
157369,9257.0
157370,7243.0
157719,2248.0
157763,976.0
157787,3097.0
157788,4156.0
157792,1380.0
157855,1460.0
157937,3377.0
157941,2337.0
157948,1045.0
157971,3415.0
157981,1342.0
157990,1605.0
158051,2112.0
158103,3302.0
158126,3470.0
158141,3009.0
158144,1893.0
158153,3008.0
158167,11835.0
158220,3616.0
158221,1335.0
158224,3900.0
158226,2593.0
158235,873.0
158236,2636.0
158237,4012.0
158342,957.0
158377,6074.0
158484,2158.0
158486,1866.0
158521,2961.0
158555,3776.0
158637,2115.0
158901,2180.0
158910,1870.0
159386,6884.0
160563,2882.0
161206,2067.0
162395,3447.0
163468,3785.0
163469,3165.0
163541,2962.0
163791,1292.0
163792,1477.0
163816,1526.0
163839,3668.0
163900,2949.0
163919,2774.0
163985,5104.0
164013,9893.0
164015,5442.0
164103,4400.0
164104,5358.0
164170,1380.0
164171,327.0
164172,742.0
164173,592.0
164174,474.0
164206,1738.0
164216,1388.0
164279,7312.0
164280,7420.0
164283,2575.0
164301,5876.0
164343,2433.0
164386,402.0
164460,1909.0
164487,3985.0
164488,9476.0
164522,7632.0
164703,862.0
164713,1485.0
164714,1850.0
164715,2352.0
164716,4800.0
164750,802.0
165260,2850.0
165261,2850.0
165262,2680.0
165389,5519.0
165500,2826.0
165529,1822.0
165576,23017.0
165579,21432.0
165580,12474.0
165589,4016.0
165669,4302.0
165670,4319.0
165768,11902.0
165778,1021.0
165779,1649.0
165780,2717.0
165819,2574.0
165820,1202.0
165838,6240.0
165841,3119.0
165846,5301.0
165859,14710.0
165877,1847.0
165883,2793.0
165921,1851.0
165962,2471.0
165974,4365.0
166005,2695.0
166024,4209.0
166108,5216.0
166111,2913.0
166113,7625.0
166114,3565.0
166115,4431.0
166203,479.0
166206,197.0
166321,64.0
166327,10823.0
166340,5518.0
166342,2610.0
166533,5735.0
166624,3926.0
166708,9329.0
166771,2179.0
166785,9784.0
167142,11581.0
167317,19403.0
167857,355.0
167907,3663.0
167934,651.0
167984,2639.0
167987,3137.0
168025,3005.0
168043,1472.0
168046,1815.0
168082,3051.0
168418,1465.0
168586,3261.0
168593,2206.0
168618,3210.0
168636,933.0
168725,1056.0
168728,324.0
168850,1417.0
168852,2258.0
168854,1150.0
169048,2900.0
169146,2097.0
169200,1770.0
169213,5685.0
169214,1522.0
169235,2387.0
169240,5770.0
169249,2732.0
169262,1820.0
169297,1448.0
169308,2888.0
169313,6248.0
169315,2908.0
169317,4247.0
169319,1618.0
169373,2462.0
169379,4883.0
169393,1869.0
169398,4102.0
169399,4025.0
169401,3028.0
169403,2285.0
169414,1392.0
169415,1295.0
169481,1934.0
169488,2434.0
169489,1084.0
169492,899.0
169494,2767.0
169497,3297.0
169500,1912.0
169531,1515.0
169541,1467.0
169544,1160.0
169581,1400.0
169633,1851.0
169637,3156.0
169640,1391.0
169641,1127.0
169653,2815.0
169660,2263.0
169671,3007.0
169674,1160.0
169676,2562.0
169694,699.0
169695,1725.0
169720,2696.0
169724,4513.0
169727,2104.0
169773,2641.0
169778,4019.0
169779,3991.0
169785,1380.0
169789,2641.0
169832,1892.0
169834,4508.0
169837,3008.0
169853,1778.0
169855,2183.0
169872,2343.0
169888,3244.0
169945,6336.0
169951,5937.0
169961,2928.0
169965,1312.0
169966,1263.0
169981,2856.0
169985,2240.0
169986,863.0
169988,1341.0
169990,1820.0
169991,2815.0
169992,1964.0
170004,2408.0
170012,1606.0
170025,4292.0
170051,1691.0
170071,1891.0
170078,1591.0
170086,6565.0
170132,2174.0
170133,2942.0
170134,6848.0
170137,4270.0
170168,1757.0
170188,3389.0
170229,2225.0
170270,4156.0
170271,2856.0
170327,2309.0
170342,3713.0
170420,2404.0
170432,9025.0
170525,3623.0
170529,7355.0
170575,2433.0
170579,2460.0
171255,3769.0
171404,207.0
171446,4180.0
172736,535.0
173665,4495.0
173666,2467.0
173791,1088.0
174118,3383.0
174171,4728.0
174212,1207.0
174236,3498.0
174286,2940.0
174349,1784.0
174353,229.0
174354,584.0
174517,2519.0
174720,2608.0
174802,1008.0
175216,2150.0
175221,1035.0
175222,2759.0
175225,1039.0
175236,3416.0
175238,1394.0
175239,3589.0
175251,4793.0
175282,1681.0
175356,4623.0
175451,4760.0
175465,3892.0
175480,1318.0
175526,5476.0
175542,3901.0
175552,3098.0
175568,6258.0
175585,3685.0
175606,3783.0
175607,4195.0
175609,1831.0
175610,2939.0
175611,2962.0
175613,1273.0
175614,2001.0
175615,2172.0
175616,3836.0
175617,6064.0
175620,1367.0
175621,3259.0
175622,1792.0
175623,2802.0
175675,2711.0
175679,3682.0
175697,3401.0
175704,3677.0
175730,3115.0
175734,2922.0
175786,1266.0
175793,2912.0
175806,6987.0
175810,4496.0
175841,6902.0
175863,3215.0
175883,2300.0
175884,3034.0
175895,7846.0
175899,3416.0
175901,1088.0
175902,1914.0
175991,5100.0
176006,2423.0
176161,2938.0
176231,3566.0
176232,4746.0
176237,2988.0
176238,2750.0
176239,2814.0
176240,3295.0
176243,4219.0
176244,4486.0
176253,281.0
176254,362.0
176257,825.0
176269,3864.0
176270,2773.0
176277,397.0
176288,8524.0
176290,559.0
176293,914.0
176295,428.0
176301,599.0
176306,1291.0
176307,562.0
176312,615.0
176313,2110.0
176314,627.0
176315,626.0
176316,809.0
176317,2515.0
176318,1193.0
176451,1734.0
176452,4018.0
176453,359.0
176455,1258.0
176456,1835.0
176551,8993.0
176552,11381.0
176553,12721.0
176558,7131.0
176590,8580.0
176602,4952.0
176850,8279.0
176855,6401.0
176859,3647.0
176930,4431.0
176935,11714.0
176950,5616.0
176977,1912.0
177090,18310.0
177091,17407.0
177181,12401.0
177458,4165.0
177512,3478.0
177579,3452.0
177583,2845.0
177600,4626.0
177785,2983.0
178067,3428.0
178068,1829.0
178070,3556.0
178071,3165.0
178078,3622.0
178082,4757.0
178134,1258.0
178264,3315.0
178312,3486.0
178315,2712.0
178383,1483.0
178516,7844.0
178601,571.0
178697,827.0
178706,2447.0
178742,5387.0
178745,4406.0
178751,4553.0
178754,6707.0
178759,4538.0
178762,10932.0
178767,3218.0
178772,5130.0
178785,2824.0
178788,2171.0
178789,3058.0
178791,2526.0
178793,1785.0
178794,1642.0
178823,3283.0
178824,4637.0
178857,2492.0
178862,3461.0
178876,7267.0
178966,4007.0
178970,4333.0
179007,3615.0
179017,2437.0
179091,3286.0
179093,4908.0
179196,1542.0
179201,3442.0
179208,3382.0
179217,3297.0
179223,4911.0
179251,11341.0
179252,6437.0
179307,3984.0
179309,2923.0
179323,5805.0
179325,4655.0
179364,3804.0
179365,2165.0
179487,2858.0
179629,6568.0
179630,2355.0
179663,3196.0
179747,572.0
179748,624.0
179749,567.0
179751,418.0
179752,2731.0
179753,5774.0
179754,1146.0
179849,2877.0
179945,1214.0
179955,4662.0
179956,2033.0
179957,1316.0
179958,1928.0
179959,1483.0
179960,1061.0
179961,432.0
179964,3230.0
179967,772.0
179982,504.0
179983,673.0
179984,1352.0
179985,273.0
179986,641.0
179987,2115.0
179991,732.0
179992,1977.0
179997,352.0
180001,2649.0
180112,1678.0
180113,1003.0
180114,1432.0
180115,1405.0
180127,3135.0
180134,2087.0
180137,1557.0
180139,2680.0
180163,2262.0
180165,4546.0
180166,4443.0
180167,3384.0
180174,2919.0
180176,6506.0
180178,2392.0
180195,2213.0
180359,1488.0
180474,713.0
180476,866.0
180477,973.0
180478,706.0
180549,123.0
180554,176.0
180563,866.0
180565,690.0
180573,567.0
180579,793.0
180626,657.0
180639,567.0
180671,1249.0
180672,2189.0
180728,2879.0
180754,3036.0
180812,5565.0
180813,1088.0
180849,2221.0
180852,2821.0
180855,2672.0
180918,3368.0
180921,741.0
180954,989.0
180955,1172.0
180958,2106.0
180962,1914.0
180969,964.0
180970,1273.0
180972,1261.0
180978,2255.0
180988,1378.0
180991,1590.0
180992,1634.0
181036,2926.0
181044,2163.0
181065,2256.0
181069,1335.0
181106,9333.0
181109,5118.0
181111,3862.0
181112,3078.0
181113,2989.0
181115,2602.0
181116,3694.0
181118,3516.0
181121,1445.0
181122,7836.0
181124,5835.0
181125,4696.0
181126,4410.0
181134,1583.0
181137,2261.0
181148,5337.0
181182,1899.0
181188,2235.0
181209,1808.0
181223,507.0
181242,1756.0
181245,1565.0
181246,3089.0
181247,2594.0
181255,1519.0
181256,1880.0
181257,1119.0
181263,3084.0
181265,1555.0
181269,3190.0
181299,1730.0
181304,2785.0
181320,4820.0
181324,2356.0
181329,1463.0
181332,8593.0
181333,5705.0
181346,2279.0
181360,2574.0
181363,3565.0
181374,9828.0
181378,4221.0
181382,5508.0
181388,2267.0
181389,605.0
181392,6170.0
181393,8414.0
181394,2695.0
181401,2426.0
181406,2876.0
181408,3600.0
181409,2319.0
181414,6262.0
181417,1988.0
181421,2583.0
181422,2831.0
181423,4914.0
181426,666.0
181427,707.0
181434,3345.0
181435,1191.0
181438,5137.0
181439,1813.0
181440,2431.0
181443,1010.0
181444,1714.0
181445,3931.0
181448,5457.0
181450,3634.0
181453,2176.0
181457,3974.0
181458,2523.0
181462,2620.0
181466,1152.0
181478,2963.0
181532,5840.0
181539,20331.0
181543,1655.0
181547,13476.0
181548,2181.0
181551,901.0
181558,578.0
181566,1584.0
181567,1332.0
181575,15223.0
181590,6261.0
181595,5644.0
181604,1589.0
181605,4193.0
181607,3968.0
181614,2224.0
181615,2339.0
181621,2907.0
181623,900.0
181624,2331.0
181625,5863.0
181627,2384.0
181638,5137.0
181649,5794.0
181652,1597.0
181663,1042.0
181706,1935.0
181708,2814.0
181742,718.0
181768,1387.0
181769,1953.0
181770,2262.0
181774,3605.0
181775,1954.0
181823,1982.0
181824,3985.0
181825,3424.0
181826,6387.0
181852,3975.0
181862,3482.0
181866,589.0
181897,4035.0
181904,2658.0
181932,11116.0
181933,13679.0
181934,7725.0
181942,3909.0
181987,4600.0
181998,1950.0
182004,3157.0
182007,2455.0
182008,1168.0
182036,8627.0
182037,3753.0
182038,8795.0
182106,4708.0
182157,3591.0
182160,3693.0
182161,3534.0
182196,3034.0
182200,3483.0
182205,5019.0
182353,3996.0
182355,4425.0
182379,5573.0
183197,588.0
183679,1556.0
183680,529.0
183695,474.0
183710,4646.0
183792,0.0
183829,4150.0
183836,2461.0
183874,7082.0
183976,9251.0
184083,6672.0
184250,945.0
184258,3016.0
184259,5074.0
184264,2190.0
184269,4278.0
184653,1661.0
184655,3314.0
184780,7481.0
184820,5217.0
184882,2609.0
184889,3703.0
184891,1961.0
185090,1487.0
185091,1368.0
185094,3149.0
185096,2852.0
185119,2695.0
185122,2455.0
185123,3736.0
185372,4731.0
185375,4073.0
185398,11927.0
185660,3064.0
185846,3447.0
185849,1594.0
185852,2546.0
185853,3010.0
185859,4016.0
185860,1248.0
185861,2075.0
185862,750.0
185863,807.0
185864,409.0
185865,1203.0
185866,563.0
185867,1169.0
185868,1077.0
185869,3621.0
185870,1122.0
185871,1637.0
185880,1258.0
185881,628.0
186002,305.0
186003,357.0
186004,370.0
186005,606.0
186006,675.0
186007,390.0
186008,441.0
186014,575.0
186015,688.0
186016,606.0
186035,287.0
186036,397.0
186037,826.0
186081,8446.0
186175,472.0
186375,1214.0
186376,1500.0
820334,2331.0
820414,4189.0
820417,1345.0
820418,2963.0
820419,2451.0
820440,1082.0
820441,4103.0
820469,3208.0
820474,8498.0
820475,2722.0
820476,6814.0
820477,1087.0
820479,3219.0
820489,2471.0
820508,2714.0
820514,6669.0
820620,2642.0
820621,2530.0
820623,3982.0
820627,4532.0
820631,4917.0
820641,5696.0
820647,2680.0
820664,8791.0
820689,5792.0
820708,2082.0
820709,2791.0
820711,2890.0
820712,6017.0
820714,2533.0
820716,4631.0
820727,2404.0
820762,5007.0
820763,3758.0
820776,3358.0
820777,2864.0
820795,4864.0
820844,8518.0
820866,4035.0
820867,3141.0
820869,3465.0
820895,3344.0
820955,2319.0
820966,6014.0
820968,4016.0
820970,6073.0
820979,3214.0
820985,3707.0
820999,4943.0
821001,3307.0
821029,806.0
821039,4460.0
821047,3258.0
821055,7400.0
821056,3007.0
821061,4793.0
821066,3762.0
821077,6346.0
821130,3793.0
821182,5366.0
821196,1004.0
821200,1956.0
821201,1095.0
821204,2417.0
821208,1125.0
821209,4431.0
821210,2229.0
821234,4394.0
821275,4927.0
821284,4112.0
821285,2332.0
821394,2764.0
821413,2883.0
821416,922.0
821424,2901.0
821427,1673.0
821443,2356.0
821444,2095.0
821453,2428.0
821454,5244.0
821536,2978.0
821554,550.0
821558,3622.0
821559,3096.0
821560,3834.0
821561,2101.0
821812,389.0
821814,1176.0
821815,1273.0
821816,770.0
821817,2391.0
821818,2327.0
821819,4609.0
821822,1759.0
821823,847.0
821824,1151.0
821825,978.0
821826,587.0
821827,433.0
821828,2640.0
821829,1117.0
821831,1069.0
821832,1215.0
821834,3798.0
821835,1809.0
821837,991.0
821839,1652.0
821840,767.0
821841,3020.0
821842,1695.0
821843,1564.0
821844,3358.0
821845,2373.0
821846,914.0
821847,589.0
821848,2021.0
821849,793.0
821863,831.0
821868,971.0
821869,2446.0
821870,1012.0
821871,1385.0
821874,709.0
821875,2638.0
821876,3865.0
821877,666.0
821878,830.0
821879,2554.0
821880,1356.0
821881,1068.0
821883,863.0
821884,2348.0
821885,770.0
821886,1318.0
821887,879.0
821888,1234.0
821889,1517.0
821890,389.0
821891,779.0
821892,599.0
821903,887.0
821905,1437.0
821906,1638.0
821909,1463.0
821911,1656.0
821912,1441.0
821914,1917.0
821915,1043.0
821916,1601.0
821918,2397.0
821919,821.0
821921,809.0
821922,786.0
821923,2223.0
821924,937.0
821925,1154.0
821926,866.0
821927,2123.0
821928,4477.0
821929,1456.0
821930,1128.0
821931,2125.0
821932,2831.0
821936,1080.0
821979,2028.0
821980,1634.0
821985,883.0
821986,779.0
821987,2287.0
821988,1716.0
821989,1448.0
821990,737.0
822002,2043.0
822003,1322.0
822004,1405.0
822005,1158.0
822007,950.0
822008,1338.0
822011,799.0
822012,936.0
822112,1728.0
822113,1435.0
822114,1600.0
822115,1019.0
822161,553.0
822162,490.0
822169,20177.0
822170,5719.0
822171,2113.0
822179,13776.0
822180,13606.0
822181,10545.0
822182,11319.0
822184,5362.0
822187,13948.0
822189,13334.0
822215,7227.0
822239,2083.0
822244,2013.0
822245,1753.0
822246,2509.0
822247,3493.0
822259,23786.0
822265,1636.0
822370,5432.0
822371,6828.0
822372,7227.0
822373,11445.0
822375,7512.0
822572,2275.0
822573,2041.0
822574,2146.0
822575,1989.0
822576,1966.0
822632,6970.0
822732,1208.0
822733,3170.0
822734,9043.0
822735,3319.0
822736,2412.0
822737,6674.0
822738,552.0
822740,903.0
822741,1198.0
822742,4359.0
822743,4433.0
822744,2259.0
822745,3283.0
822746,3879.0
822747,1255.0
822748,1199.0
822749,709.0
822750,1939.0
822921,1872.0
822970,3258.0
823000,3209.0
823003,606.0
823004,3576.0
823005,2162.0
823006,1280.0
823007,1505.0
823008,2548.0
823009,1039.0
823010,1158.0
823011,2762.0
823012,8680.0
823017,8806.0
823018,4841.0
823019,2574.0
823020,2196.0
823021,3317.0
823022,4697.0
823023,3564.0
823024,3956.0
823025,4336.0
823026,1495.0
823027,1971.0
823028,2383.0
823029,2283.0
823030,3958.0
823031,4424.0
823032,4545.0
823033,3558.0
823034,4310.0
823035,3118.0
823036,1736.0
823037,2603.0
823038,2534.0
823039,4220.0
823041,4313.0
823044,5735.0
823045,4453.0
823046,3914.0
823049,1706.0
823050,6246.0
823055,5409.0
823056,10979.0
823057,6793.0
823058,5489.0
823060,5168.0
823061,8703.0
823062,4543.0
823063,4211.0
823065,2836.0
823066,1567.0
823067,2044.0
823068,5008.0
823069,11102.0
823075,992.0
823077,4163.0
823078,1955.0
823079,985.0
823080,1448.0
823081,1000.0
823082,2007.0
823084,1770.0
823099,1087.0
823135,1811.0
823245,3775.0
823246,2046.0
823248,1404.0
823249,3378.0
823250,3030.0
823342,1763.0
823352,1020.0
823362,5375.0
823363,6012.0
823364,2951.0
823409,1560.0
823412,4453.0
823415,1224.0
823418,1321.0
823492,915.0
823499,1986.0
823500,3226.0
823502,3430.0
823503,4160.0
823504,3226.0
823505,6228.0
823506,5784.0
823507,4705.0
823508,5581.0
823509,3589.0
823527,5186.0
823528,8613.0
823529,5472.0
823531,5544.0
823533,5589.0
823591,1629.0
823593,3398.0
823594,4411.0
823596,2581.0
823597,3971.0
823598,2776.0
823678,1224.0
823679,1498.0
823704,6506.0
823705,2848.0
823726,1187.0
823727,1913.0
823728,3002.0
823729,1507.0
823731,2879.0
823732,2078.0
823735,5309.0
823736,1966.0
823748,4221.0
823873,4715.0
823874,3540.0
823923,1093.0
823925,2451.0
823961,3080.0
823980,3414.0
823994,4088.0
823995,4779.0
824069,4276.0
824070,3266.0
824072,3121.0
824073,2283.0
824075,1296.0
824096,2271.0
824170,1202.0
824171,1520.0
824205,4638.0
824206,3711.0
824263,4524.0
824264,4628.0
824366,1828.0
824378,4422.0
824431,1543.0
824432,258.0
824433,1929.0
824434,1248.0
824436,212.0
824437,2358.0
824438,1004.0
824439,1306.0
824440,1939.0
824441,485.0
824442,664.0
824443,1335.0
824444,1340.0
824480,968.0
824549,3237.0
824550,1531.0
824551,1833.0
824552,1140.0
824553,2264.0
824554,1162.0
824555,1168.0
824556,1942.0
824557,1002.0
824558,3594.0
824559,639.0
824560,1557.0
824561,2030.0
824562,1219.0
824563,872.0
824564,882.0
824565,1156.0
824566,1228.0
824567,1421.0
824568,1172.0
824570,778.0
824571,1045.0
824585,815.0
824586,665.0
824601,5941.0
824602,8204.0
824612,1433.0
824613,2758.0
824614,2409.0
824615,828.0
824617,1013.0
824618,579.0
824619,1559.0
824620,426.0
824621,1420.0
824622,1066.0
824623,546.0
824624,1401.0
824625,189.0
824626,474.0
824627,853.0
824628,332.0
824629,226.0
824651,1201.0
824652,1911.0
824653,1391.0
824655,654.0
824656,2788.0
824763,1375.0
824764,1128.0
824765,1308.0
824766,2013.0
824768,1136.0
824860,591.0
824863,2535.0
824870,2509.0
824875,4052.0
824883,3114.0
824890,2867.0
824891,7350.0
824893,5454.0
824898,3183.0
824915,3731.0
824925,2621.0
824926,2297.0
824959,3978.0
824963,5325.0
824964,3955.0
824965,7536.0
824966,1158.0
824968,2969.0
824982,5876.0
824984,3288.0
825004,2708.0
825007,6294.0
825009,3908.0
825024,3423.0
825030,7919.0
825031,3571.0
825033,7583.0
825034,6289.0
825038,3948.0
825071,1256.0
825074,4036.0
825075,1737.0
825076,2341.0
825077,2316.0
825081,4722.0
825083,3378.0
825091,2622.0
825093,3707.0
825095,2534.0
825098,2473.0
825108,3331.0
825112,2893.0
825119,1865.0
825120,968.0
825121,3219.0
825123,3407.0
825125,1922.0
825126,2142.0
825127,1906.0
825128,2722.0
825129,4837.0
825130,3060.0
825131,2289.0
825132,2592.0
825133,2105.0
825134,5695.0
825135,3716.0
825136,1526.0
825137,2062.0
825138,1895.0
825149,408.0
825150,508.0
825151,527.0
825152,213.0
825176,401.0
825177,389.0
825178,366.0
825179,1342.0
825180,566.0
825181,216.0
825182,2032.0
825183,1582.0
825184,1205.0
825185,572.0
825186,430.0
825187,497.0
825188,547.0
825189,303.0
825190,1089.0
825191,309.0
825192,1586.0
825193,352.0
825194,377.0
825199,349.0
825200,412.0
825201,372.0
825202,507.0
825203,400.0
825204,308.0
825205,360.0
825206,216.0
825207,670.0
825208,349.0
825209,489.0
825210,873.0
825211,495.0
